Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,28.250000,29.150000,28.150000,28.950001,28.311195,749300
2017-05-02,29.000000,29.200001,28.500000,28.500000,27.871126,636300
2017-05-03,28.350000,28.400000,27.600000,28.299999,27.675539,1254200
2017-05-04,28.900000,29.799999,27.129999,27.950001,27.333263,1481600
2017-05-05,28.100000,28.549999,28.049999,28.299999,27.675539,906000
2017-05-08,28.200001,28.799999,28.150000,28.700001,28.066713,776900
2017-05-09,28.700001,28.750000,28.250000,28.549999,27.920023,644900
2017-05-10,28.450001,28.730000,27.900000,28.000000,27.382156,894700
2017-05-11,27.900000,27.900000,26.850000,27.200001,26.599812,828000
2017-05-12,27.200001,27.200001,26.549999,26.850000,26.257534,530000
2017-05-15,27.000000,27.450001,26.850000,27.450001,26.844296,605100
2017-05-16,27.450001,27.500000,27.030001,27.400000,26.795399,823400
2017-05-17,27.299999,27.299999,25.500000,25.799999,25.323122,915100
2017-05-18,25.700001,26.500000,25.549999,26.000000,25.519428,1348600
2017-05-19,26.049999,26.530001,26.049999,26.299999,25.813881,771400
2017-05-22,26.400000,27.200001,26.400000,27.100000,26.599096,698600
2017-05-23,27.250000,27.600000,26.900000,27.200001,26.697247,1206000
2017-05-24,27.250000,27.450001,26.600000,26.700001,26.206490,578900
2017-05-25,26.799999,27.000000,26.600000,26.799999,26.304642,464800
2017-05-26,26.750000,26.950001,26.500000,26.799999,26.304642,571300
2017-05-30,26.650000,26.900000,26.350000,26.549999,26.059261,526600
2017-05-31,26.549999,26.850000,26.000000,26.450001,25.961109,738100
2017-06-01,26.450001,27.750000,26.350000,27.500000,26.991703,862300
2017-06-02,27.450001,28.299999,27.450001,28.000000,27.482458,904400
2017-06-05,27.950001,28.440001,27.850000,27.850000,27.335234,597100
2017-06-06,27.650000,27.700001,26.900000,27.000000,26.500944,587700
2017-06-07,27.000000,27.000000,26.549999,26.600000,26.108337,508000
2017-06-08,26.600000,27.000000,26.500000,26.799999,26.304642,413000
2017-06-09,26.850000,27.400000,26.580000,26.799999,26.304642,558800
2017-06-12,26.950001,27.730000,26.900000,27.350000,26.844475,984400
2017-06-13,27.250000,27.400000,26.549999,27.049999,26.550018,1114300
2017-06-14,26.950001,27.100000,26.129999,26.500000,26.010185,765800
2017-06-15,26.200001,26.850000,26.150000,26.350000,25.862959,686600
2017-06-16,26.150000,26.700001,26.100000,26.650000,26.157413,1027900
2017-06-19,27.100000,27.950001,26.750000,27.950001,27.433386,616500
2017-06-20,27.799999,27.950001,27.100000,27.250000,26.746325,651600
2017-06-21,27.299999,27.299999,26.850000,26.950001,26.451870,458700
2017-06-22,27.000000,27.049999,26.350000,26.549999,26.059261,681800
2017-06-23,26.549999,26.650000,26.100000,26.250000,25.764807,2077000
2017-06-26,26.450001,27.150000,26.299999,26.850000,26.353716,688800
2017-06-27,26.700001,26.700001,26.049999,26.150000,25.666655,708200
2017-06-28,26.350000,27.530001,26.299999,27.450001,26.942627,795000
2017-06-29,27.650000,28.180000,27.250000,28.049999,27.531536,943100
2017-06-30,28.200001,28.309999,27.700001,28.000000,27.482458,961300
2017-07-03,28.200001,28.500000,27.950001,28.000000,27.482458,552400
2017-07-05,24.799999,25.000000,21.549999,21.600000,21.200756,10092700
2017-07-06,21.549999,22.000000,20.100000,20.400000,20.022936,5383700
2017-07-07,20.500000,21.150000,19.950001,21.000000,20.611847,3357200
2017-07-10,21.299999,21.400000,20.650000,21.150000,20.759071,2591800
2017-07-11,21.150000,21.500000,21.049999,21.350000,20.955378,1255000
2017-07-12,21.500000,21.600000,20.900000,21.299999,20.906298,993600
2017-07-13,21.350000,21.450001,20.900000,21.200001,20.808149,1421500
2017-07-14,21.100000,21.299999,20.799999,21.250000,20.857225,1792600
2017-07-17,21.299999,21.549999,21.200001,21.350000,20.955378,953700
2017-07-18,21.250000,21.500000,20.850000,21.350000,20.955378,1833300
2017-07-19,22.000000,22.700001,21.100000,22.000000,21.593361,2071900
2017-07-20,22.000000,22.850000,21.750000,22.750000,22.329500,1259300
